Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
ABHD14A	-0.547248273	-1.067011512
ABHD14B	-0.113473385	-0.185938123
ABHD15	-0.317286446	-1.706559595
ABHD2	-0.046029881	-0.192556196
ABHD3	-0.096065338	-1.536446538
ABHD4	-0.409369607	-0.361472484
ABHD5	-0.061266952	0.728453846
ABHD6	-0.342121999	-0.948707817
ABHD8	0.14006156	-0.150534037
ABI1	0.15221348	-0.178325281
ABI2	-0.617430148	-0.544916188
ABI3	0.410266484	-1.510733568
ABI3BP	0.002093249	-0.690993992
ABL1	-0.126386514	-1.291042984
ABL2	-0.191160998	-0.982926172
ABLIM1	0.30757742	-0.69254451
ABLIM2	-0.244292686	-0.758856042
ABLIM3	-0.111290291	-0.222550521
ABO	0.140871587	-0.007527416
ABR	-0.048089189	0.648855352
ABRA	-0.665033735	-1.350815772
ABT1	-0.515035956	-1.137681857
ABTB1	-0.118228853	-1.285673081
ABTB2	0.140456418	-0.478152134
ACAA1	-0.168921389	-1.358388855
ACAA2	-0.31709865	-0.110331924
ACACA	-0.216648349	-0.388264465
ACACB	-0.036352968	-1.372738319
ACAD10	-0.21377289	-1.160313646
ACAD11	-0.089055288	-0.360801821
ACAD8	-0.002302112	-0.453289169
ACAD9	-0.583173908	-1.041725913
ACADL	-0.551398578	-1.00370214
ACADM	-0.495339913	-0.817772294
ACADS	-0.246032935	-0.705664439
ACADSB	-0.330843423	-0.400749882
ACADVL	-0.143936318	-1.043849856
ACAN	-0.216504109	-0.731600136
ACAP1	-0.365556123	-0.356065217
ACAP2	-0.455319483	-2.526660167
ACAP3	-0.573611924	-0.690799207
ACAT1	-0.118803575	-0.946803447
ACAT2	-0.131386963	0.53198091
ACBD3	-0.201844618	-0.944066809
ACBD4	-0.196881109	-1.803887506
ACBD5	-0.140181705	-0.162327795
ACBD6	-0.833761729	0.233077611
ACBD7	-1.144375192	-0.600155329
ACCS	-0.376987302	-1.163010279
ACCSL	-0.16236363	0.013429017
ACD	-0.019176745	0.040971824
ACE	-0.872640994	-0.014739187
ACE2	-0.678791393	-0.339750568
ACER1	-0.18509258	-0.442779688
ACER2	-0.054960364	-0.892082247
ACER3	-0.006510115	-0.684439976
ACHE	-0.040859	-1.444589356
ACIN1	-0.284372408	-0.669530951
ACLY	-0.304180821	-0.412662953
ACMSD	-0.175511024	-0.558923868
ACN9	-0.253060167	-0.134230838
ACO1	-0.300011053	-1.616672234
ACO2	-1.069637545	-1.878575178
ACOT1	0.22626244	-0.115975122
ACOT11	0.05862228	-1.442229324
ACOT12	-0.429749993	-0.560964608
ACOT13	-0.437110208	-0.58788909
ACOT2	-0.069567243	-1.156284823
ACOT4	0.011860553	-0.353598277
ACOT6	-0.146827523	0.215829654
ACOT7	0.493375022	-0.738504767
ACOT8	-0.283163954	-1.176574766
ACOT9	-0.332736307	-0.221603154
ACOX1	-1.23979128	-0.92036098
ACOX2	-0.036569442	-0.603835668
ACOX3	-0.181031468	-1.162656761
ACOXL	-1.101313334	-0.445805003
ACP1	0.07232321	-0.946964904
ACP2	-0.050523315	-1.468199576
ACP5	0.152139346	-0.744877618
ACP6	-0.196765464	-1.386770747
ACPL2	0.014853456	-1.162168601
ACPP	0.067593662	-0.368382003
ACPT	-0.409924483	-0.426951517
ACR	-0.136822781	-1.283102982
ACRBP	-0.312428215	-0.45327268
ACRC	-0.050079734	-0.40809294
ACRV1	-0.051575801	-0.521982283
ACSBG1	-0.208318958	-0.365694776
ACSBG2	-1.019222518	-1.850405152
ACSF2	-0.064805596	-0.258882038
ACSF3	0.120493972	-0.049078495
ACSL1	-0.28205997	-1.59710531
ACSL3	-0.571180298	-1.3648455
ACSL4	-0.757662081	-1.314374793
ACSL5	-0.145478457	-0.100795592
ACSL6	-0.501699906	-0.458825752
ACSM1	-0.359198216	0.232489153
ACSM2A	-0.483466672	-1.737011009
ACSM2B	-0.026611203	-0.307853903
ACSM3	-0.372661157	0.205179399
ACSM4	-0.083833102	-1.342037692
ACSM5	-0.472070223	-0.128368864
ACSS1	0.078143549	-0.563856754
ACSS2	-0.539030406	-1.162774145
ACSS3	-0.450973455	-1.083639033
ACTA1	0.568105929	-1.161011908
ACTA2	0.081602658	-0.113218018
ACTB	-1.727226985	-2.148326826
ACTBL2	-0.738404599	-0.74854703
ACTC1	-0.115070091	-1.845089425
ACTG1	-1.85442652	-0.787456258
ACTG2	-0.039622552	-0.758696899
ACTL6A	-0.932784247	-1.578096433
ACTL6B	-0.453511079	-0.12965117
ACTL7A	-0.575016966	0.166246417
ACTL7B	-0.182609816	-0.731863323
ACTL8	-0.137134318	-1.659853109
ACTL9	-0.356391583	-1.601703543
ACTN1	-0.280233312	-1.663237928
ACTN2	0.234516353	-0.447273756
ACTN4	-0.278366068	-0.56121998
ACTR10	-1.351376615	-2.643952984
ACTR1A	-0.783094451	-1.991578608
ACTR1B	0.257743837	-1.181815238
ACTR2	-0.276049822	-1.056052182
ACTR3	-3.513818556	-2.833940012
ACTR3B	-0.723059746	-1.065743092
ACTR3C	-0.200110777	-1.145788984
ACTR5	-0.52220801	-0.677988881
ACTR6	-0.491707551	-1.236362966
ACTR8	-1.203575793	-2.264146912
ACTRT1	0.25037966	-0.245567815
ACTRT2	-0.357507403	0.485327771
ACVR1	-0.306439517	-0.816183489
ACVR1B	-0.482807547	-0.309395148
ACVR1C	-0.130920061	-0.957877063
ACVR2A	-0.44339212	-0.458082837
ACVR2B	-0.398932579	-0.491948968
ACVRL1	-0.902319018	-0.846794585
ACY1	-0.5268769	0.169036791
ACY3	-0.051527599	-0.431430035
ACYP1	-0.04071486	0.417187778
ACYP2	-0.506094442	-2.05603611
ADA	-0.208711949	-2.210941746
ADAD1	-0.180616641	-0.344495655
ADAD2	-0.2875648	-2.135893867
ADAL	-0.613196609	-1.834566834
ADAM10	-0.321222654	-0.741778681
ADAM11	-1.124877262	-0.562290391
ADAM12	0.07596674	0.122990021
ADAM15	-0.109198863	-0.546081295
ADAM17	-0.029841808	-0.675865702
ADAM18	-0.068254587	0.245418155
ADAM19	-0.356275084	-0.539826816
ADAM2	-0.323691475	0.336868568
ADAM20	-0.636310159	-0.033645616
ADAM21	0.017822659	0.39942317
ADAM22	-0.923631302	-1.846483346
ADAM23	-0.154572919	-0.110683645
ADAM28	-0.212746851	-0.095369639
ADAM29	-0.276572381	-0.551678535
ADAM30	-0.782493632	-1.315041781
ADAM32	0.235155427	-1.098983476
ADAM33	-0.139620601	-0.054743149
ADAM7	-0.417877732	0.150524645
ADAM8	-0.065270835	-0.097500701
ADAM9	0.232749998	-0.461833601
ADAMDEC1	0.021157588	-0.739301863
ADAMTS1	-0.483728427	-1.344514053
ADAMTS10	-0.168726236	-1.380325677
ADAMTS12	-0.127007987	-0.273626796
ADAMTS13	-0.374031355	-0.886248463
ADAMTS14	-0.218404916	0.217102743
ADAMTS15	-0.138686447	-0.422425317
ADAMTS16	-0.278690045	-0.89865012
ADAMTS17	-0.351496242	-1.844655265
ADAMTS18	0.155088091	0.514839768
ADAMTS19	-0.511038539	-1.117757998
ADAMTS2	-0.019094622	-0.415750884
ADAMTS20	-0.977141878	-0.789226385
ADAMTS3	-1.308309214	-1.51845026
ADAMTS4	0.280679004	-0.572265071
ADAMTS5	0.012332975	-0.824513153
ADAMTS6	-0.070514112	-0.676304225
ADAMTS7	-0.30865294	-1.110652675
ADAMTS8	-0.123603229	-0.097107748
ADAMTS9	0.270554041	-0.038856831
ADAMTSL1	-0.035379763	-0.154277383
ADAMTSL2	0.053242013	-1.0545421
ADAMTSL3	0.133399014	-0.875740834
ADAMTSL4	-0.447420557	-1.247235701
ADAMTSL5	-0.221479213	-1.092140239
ADAP1	0.068612493	-0.12077268
ADAP2	-0.626393098	-0.993644564
ADAR	0.139032953	-1.37430991
ADARB1	-0.01898926	-0.426517777
ADARB2	-0.205271814	0.17143553
ADAT1	-0.650399393	-0.862653781
ADAT2	-0.553321798	-0.896777189
ADAT3	-0.558499935	-1.07274032
ADC	-0.298676785	-0.59535277
ADCK1	-0.152865704	-0.095321722
ADCK2	-0.427436095	0.019503826
ADCK4	-0.161759572	-0.410487995
ADCK5	0.325151133	-1.812385135
ADCY1	-0.557436239	-1.244806771
ADCY10	-0.12994967	-0.487171608
ADCY2	-0.368452645	-0.272016035
ADCY3	0.05586621	-0.425767776
ADCY4	0.03573978	-0.386605169
ADCY5	-0.558907771	-1.138180314
ADCY6	0.092048637	-0.368898768
ADCY7	-0.303909541	-0.338255521
ADCY8	-0.285460664	-1.389189205
ADCY9	0.11836332	-0.142329233
ADCYAP1	0.100173119	-0.291595448
ADCYAP1R1	0.189698031	-0.566289429
ADD1	-0.211919565	-1.331332812
ADD2	0.262450531	-1.486697117
ADD3	0.130784056	-0.231826735
ADH1A	0.33418175	0.060418644
ADH1B	-0.820463404	-0.806384637
ADH4	-0.520442727	-0.31210685
ADH5	-0.55797896	-0.493689132
ADH6	-0.387788827	-0.358798764
ADH7	0.00101857	-1.289415394
ADHFE1	-0.704429708	-0.161868049
ADI1	0.709857439	-1.155731641
ADIG	-2.123721182	-0.472343177
ADIPOQ	-0.217327855	-0.08450478
ADIPOR1	-0.589417273	-4.878404377
ADIPOR2	-0.479518489	-0.598772988
ADK	-0.106378063	-1.207882821
ADM	-0.324709911	-0.13441168
ADM2	-0.15035665	-1.178477704
ADNP	-0.486955331	-0.733209397
ADNP2	-0.187482402	-0.57541321
ADO	-0.389590929	-0.052868132
ADORA1	0.264773951	-0.066890256
ADORA2A	-0.307516461	-1.926628205
ADORA2B	-0.103026796	-0.70494144
ADORA3	0.132719096	-0.163887845
ADPGK	-0.292915806	-0.625260206
ADPRH	-0.446518672	-2.723410246
ADPRHL1	-0.612382984	-0.186315687
ADPRHL2	-0.491647651	-1.413109253
ADRA1A	-0.488491451	-0.349936785
ADRA1B	-0.50986393	-0.186337659
ADRA1D	-0.286441442	-1.4904135
ADRA2A	0.646991583	-0.94828128
ADRA2B	0.060024112	-0.293578665
ADRA2C	-0.463016946	-0.693898905
ADRB1	-0.079391479	-0.550636994
ADRB2	0.042206115	-1.105621753
ADRB3	0.315056237	-0.31557921
ADRBK1	-0.804388885	-0.012823771
ADRBK2	-0.004489588	-1.163909588
ADRM1	-0.651834728	0.015184634
ADSL	-0.392139025	-0.31071264
ADSS	-1.082525516	-1.479192941
ADSSL1	0.045876516	0.118511503
AEBP1	-0.020232666	-0.965522295
AEBP2	0.091067019	-0.767838255
AEN	0.292639417	-0.409566385
AES	-0.234789085	-0.72314241
AFAP1	-0.561245648	-0.899382911
AFAP1L1	-0.682189329	-0.04891055
AFAP1L2	-0.002200102	-0.598192749
AFF1	-0.461612965	-1.877299714
AFF2	-0.576892803	-0.909773428
AFF3	-0.334867003	-0.452547367
AFF4	0.26133968	-0.580552151
AFG3L2	-0.205552537	-0.484157079
AFM	0.02851016	-0.460505998
AFMID	-0.330974978	-1.485649668
AFP	0.27484384	-0.298961347
AFTPH	0.010367306	-1.849347331
AGA	-0.734247927	-0.632630951
AGAP1	0.279268243	-0.449126259
AGAP11	0.030739523	-0.409946331
AGAP2	0.037687525	-1.02677305
AGAP3	-0.271594206	-1.234395563
AGAP6	-0.099173517	-0.156192403
AGBL1	0.040986627	-0.543342857
AGBL2	-0.131811261	-2.295304478
AGBL3	-0.179798967	-0.616246346
AGBL4	-0.301499463	0.396287218
AGBL5	-0.361798712	-0.598845083
AGER	-0.507447095	-1.05908903
AGFG1	0.53535364	-0.037276176
AGFG2	-0.528390754	-0.775339527
AGGF1	-0.645603349	-0.737735324
AGK	-0.284394169	-2.051807575
AGL	0.003680765	-0.778552682
AGMAT	-0.120969515	-0.415263396
AGPAT1	-0.053034145	0.570590822
AGPAT2	-1.008176093	-0.330978221
AGPAT3	-0.288397825	-0.253345123
AGPAT4	0.136556534	-0.24415013
AGPAT5	-0.024762658	-0.430161791
AGPAT6	-0.038908584	-0.994698942
AGPAT9	0.144162436	0.085517655
AGPHD1	-0.407819747	-0.183501277
AGPS	-0.741529247	-0.674315095
AGR2	-0.029784727	-1.381670554
AGR3	-0.583399859	-0.650520526
AGRN	0.043629104	-0.451002527
AGRP	-0.438139269	0.034211946
AGT	-0.202346513	-0.107194295
AGTPBP1	-0.467285314	-0.443430862
AGTR1	0.105618509	0.132028711
AGTR2	0.039855059	-0.856770717
AGTRAP	0.050934552	0.0214349
AGXT	-0.17703087	-0.754708116
AGXT2	-0.653100352	-0.792599019
AGXT2L1	-0.302942383	-0.575890549
AGXT2L2	-0.395057458	-0.768211458
AHCTF1	-0.799197303	-0.512267972
AHCY	-0.845414709	-1.49053002
AHCYL1	-1.448211434	-1.296568768
AHCYL2	-0.103303576	-0.528755648
AHDC1	-0.199691126	-0.731544627
AHI1	0.6278491	-1.077213811
AHNAK	-0.380331684	-0.719257084
AHNAK2	-0.10761642	-0.905016346
AHR	0.064915732	-0.596372085
AHRR	-0.150528193	-0.466176255
AHSA1	-0.198414395	-0.297521569
AHSA2	-1.377273956	-3.224411344
AHSG	-0.576270758	0.633322076
AHSP	0.022593002	-0.609756574
AICDA	0.199415851	-0.606855965
AIDA	-0.632028678	-0.73503261
AIF1	-0.102127464	-0.479838528
AIF1L	-0.405058505	-0.810447291
AIFM1	-0.265306953	-1.58598921
AIFM2	-0.037970744	-1.358474703
AIFM3	-0.759158857	-1.139438595
AIG1	-0.051961372	0.348433369
AIM1	-0.126680798	-0.826967692
AIM2	-0.18323437	-1.268379466
AIMP1	-0.425171716	-0.87287817
AIMP2	-1.085836385	-0.927180644
AIP	-0.014846472	-0.721963608
AIPL1	-0.228100529	-0.819217176
AIRE	-0.61082149	0.894736004
AJAP1	-0.289105144	-1.244656126
AK1	-0.370135595	-1.121824935
AK2	0.053837165	0.038708082
AK3	0.340166462	0.273211161
AK5	-0.073098989	-2.598989989
AK7	0.143837749	0.14539029
AKAP1	-0.27381106	-1.112385977
AKAP10	-0.363560091	-0.968591082
AKAP11	-0.1164302	-0.533609731
AKAP12	-0.521660388	-0.393876376
AKAP13	-0.272051831	0.263356352
AKAP14	0.109999655	-0.562190754
AKAP2	-0.368853638	-0.618288707
AKAP3	-0.231118039	0.705550508
AKAP4	-0.227266883	-0.153147119
AKAP5	-0.265470127	0.101232098
AKAP6	-0.753765273	-0.957474956
AKAP7	-0.365050644	-0.77653009
AKAP8	-0.471506078	-0.603717133
AKAP8L	-0.281914343	0.112796177
AKAP9	-0.814178145	-0.659522273
AKIRIN1	-0.381219471	-0.912881586
AKIRIN2	-0.848667986	-2.059567143
AKNA	-0.478219637	-0.737222308
AKNAD1	-0.741538814	-0.658889944
AKR1A1	-0.644132411	-0.852734164
AKR1B1	-0.250596059	0.120966145
AKR1B10	-0.187914315	-0.874808784
AKR1B15	0.124639863	-0.629919111
AKR1C1	-0.136818826	-0.932493334
AKR1C2	0.089965299	-0.032092956
AKR1C3	-0.152170063	-0.034632222
AKR1C4	-0.130048765	-0.227375011
AKR1D1	-0.283820679	0.492933268
AKR1E2	-0.464178486	-0.663989722
AKR7A2	-0.128503321	-0.422052718
AKR7A3	0.106389505	-1.169834117
AKT1	-0.345209156	-0.040770946
AKT1S1	0.065918293	-2.201469496
AKT2	-0.503153835	-0.752296334
AKT3	-1.082714681	-0.889695367
AKTIP	-0.344636993	-0.947676641
ALAD	-0.250155034	-0.532213337
ALAS1	-0.571238909	-0.555565404
ALAS2	-0.345229947	-0.625617899
ALB	-0.473869547	-0.022624128
ALCAM	-0.518640274	-1.123680251
ALDH16A1	0.233154545	0.527870613
ALDH18A1	-0.247424729	0.078953341
ALDH1A1	-0.375372187	-0.451427406
ALDH1A2	-0.30034751	-0.289760515
ALDH1A3	-0.049519364	-0.860833736
ALDH1B1	0.084977823	-0.467152542
ALDH1L1	-0.348960588	-1.046918354
ALDH1L2	-0.382546644	-0.72609675
ALDH2	-0.27094522	-0.873695799
ALDH3A1	-0.205166647	-0.154668883
ALDH3A2	-0.686597612	-0.71575394
ALDH3B1	-1.014317082	-1.093664247
ALDH3B2	-0.164480253	-0.520531428
ALDH4A1	-0.255893358	-0.991884268
ALDH5A1	0.173153277	-0.812967103
ALDH6A1	-0.226080319	0.807752843
ALDH7A1	-0.195637934	-0.910003517
ALDH8A1	-0.25379123	-1.329997937
ALDH9A1	-0.263730111	-0.444949615
ALDOA	-1.899999499	-2.614906636
ALDOB	-0.298660205	-0.697880615
ALDOC	-0.236778012	-0.509455403
ALG1	-0.744793207	-1.634216071
ALG10	-1.338765046	-1.200109629
ALG10B	-0.836860838	-1.122372733
ALG11	-0.306830081	-0.747050608
ALG12	0.005921351	-0.902617783
ALG13	0.058691807	-0.475933646
ALG14	-0.530716033	-0.937702036
ALG1L	-0.532525681	0.187572626
ALG2	-1.264104773	-1.992009941
ALG3	-0.255549189	-0.141476414
ALG5	-1.295761718	-2.249938526
ALG6	-0.480139027	0.091410151
ALG8	-0.349073768	-0.732061524
ALG9	-0.091110732	-1.156116619
ALK	0.012629716	-0.475361744
ALKBH1	-0.179775388	-0.325525936
ALKBH2	-0.116126493	-0.86514275
ALKBH3	-0.367389805	-0.165987646
ALKBH4	-0.38809816	-0.671538615
ALKBH5	-0.466482652	-0.477928361
ALKBH6	-0.59008762	-0.764058971
ALKBH7	-0.384614448	-0.578494448
ALKBH8	-0.167090763	0.356412047
ALLC	-0.413319157	-0.754134025
ALMS1	-0.296554753	-0.510295965
ALOX12	0.010585447	0.160058568
ALOX12B	-0.325947827	-1.191852204
ALOX15	-0.686348758	-1.333940406
ALOX15B	-0.453649788	-0.383990115
ALOX5	-0.540346016	-1.485135207
ALOX5AP	-0.292181585	-0.13591395
ALOXE3	-0.176182585	-0.83573805
ALPI	-0.341448117	-0.292322439
ALPK1	-0.752762053	-0.701564946
ALPK2	-0.302562237	-1.456921629
ALPK3	-0.571035561	-1.343220222
ALPL	0.147251135	-1.293269454
ALPP	-0.191414961	-0.350368085
ALPPL2	-0.128973855	-1.029984048
ALS2	-1.597608972	-2.489336141
ALS2CL	-0.290528852	-0.477180915
ALS2CR11	-0.350144592	-2.573101392
ALS2CR12	0.395151857	-0.642959759
ALS2CR8	-0.568918465	-0.994256275
ALX1	-0.057695056	-0.52916948
ALX3	-0.628633184	-0.267002013
ALX4	-0.703186774	-1.575488981
AMACR	-0.699671883	-2.138398018
AMBN	-0.277537728	-0.381405773
AMBP	-0.070915906	-0.56016783
AMBRA1	-0.285274859	-0.459780075
AMD1	-0.931053982	-1.571027045
AMDHD1	-0.22329911	-0.382033811
AMDHD2	0.063132466	-0.384614956
AMELX	-0.576476931	-0.788640703
AMELY	-0.287046196	-0.337197182
AMFR	-0.637132183	-1.926069857
AMH	-0.489308702	-1.294799152
AMHR2	-0.310434233	-0.236149065
AMICA1	-0.13915379	-0.211791229
AMIGO1	-0.495259157	-1.312649547
AMIGO2	-1.173026221	-0.942602445
AMIGO3	-0.328682471	-0.809454925
AMMECR1	0.030820289	-0.916724846
AMMECR1L	-0.398532442	-1.320165906
AMN	-0.353858115	-1.22405317
AMN1	-0.159979838	-0.157246489
AMOT	-0.00583757	-0.178003081
AMOTL1	0.155626454	-1.224555676
AMOTL2	-0.32998516	0.229567743
AMPD1	-0.306571474	-0.42159466
AMPD2	-0.033098927	-0.511349685
AMPD3	-0.053821802	0.220627493
AMPH	-0.043857867	0.137934369
AMT	-0.359066409	-1.271946411
AMTN	-0.049356015	-0.881790845
AMY2A	-0.276010482	-1.022008619
AMY2B	-1.488344311	-2.186878135
AMZ1	0.325150883	-0.787900319
AMZ2	-0.461866838	-0.881464462
ANAPC1	-1.507637201	-0.800764545
ANAPC10	-0.74579236	-3.187644255
ANAPC11	-0.035097588	-0.721381142
ANAPC13	-0.93595456	-0.745863718
ANAPC16	-0.472262757	-0.371018495
ANAPC2	-0.995910922	-1.573589717
ANAPC4	-1.529848687	-0.788624231
ANAPC5	-1.783605659	-2.636959173
ANAPC7	-0.364595168	-0.775505168
ANG	-0.227674123	-0.155819065
ANGEL1	0.002193292	-0.142216922
ANGEL2	0.038845932	-0.278316823
ANGPT1	-0.416141601	-0.424945005
ANGPT2	0.075097664	-0.081699766
ANGPT4	-0.093030312	-0.263826576
ANGPTL1	-0.587585305	-0.567265338
ANGPTL2	-0.228741652	-0.778663108
ANGPTL3	-0.098172638	-0.058026185
ANGPTL4	-0.110568163	-0.804737121
ANGPTL5	-0.766011878	-1.201108827
ANGPTL6	-0.392521586	-1.217953709
ANGPTL7	0.600013916	0.151620739
ANK1	0.135952593	0.266373454
ANK2	-0.2221748	0.030993854
ANK3	0.476274947	0.007676912
ANKAR	-0.638123306	-0.674272552
ANKDD1A	0.187566089	-1.533312023
ANKFN1	-0.212052852	-1.233764093
ANKFY1	-0.328935894	-0.252830206
ANKH	-0.160277804	-0.27150538
ANKHD1	-0.131274205	0.361555317
ANKHD1-EIF4EBP3	-0.044252501	-0.30528095
ANKIB1	-0.497347307	-0.453117415
ANKK1	-0.203431306	0.083172891
ANKLE2	-0.374497853	-2.734609795
ANKMY1	-0.203822007	-1.54534246
ANKMY2	-0.428047104	-0.514133773
ANKRA2	-0.053915229	-0.921342212
ANKRD1	-0.983730121	-1.016084915
ANKRD10	-0.043172905	-0.80745909
ANKRD11	-0.256706987	-0.333275411
ANKRD12	-0.30245379	-0.290631933
ANKRD13A	-0.953141745	-0.404474089
ANKRD13B	-0.495695144	-0.740549237
ANKRD13C	-0.203574479	-0.055358604
ANKRD13D	-0.169052224	-0.247920304
ANKRD16	-0.228580165	-0.937620397
ANKRD17	0.04893053	-1.088399739
ANKRD2	-0.000609752	-0.167066231
ANKRD20A3	-0.140399049	0.360528948
ANKRD22	0.030713108	0.216311665
ANKRD23	-0.208638746	-0.407326184
ANKRD24	-0.511789726	-3.058684274
ANKRD26	-0.795900508	-0.065737088
ANKRD27	-0.50213504	-0.755659264
ANKRD28	-0.060741999	-0.390609124
ANKRD29	-0.384531018	-0.477682605
ANKRD30A	0.160378219	-2.296254521
ANKRD30B	-0.130745183	-0.501733275
ANKRD32	-0.099197889	0.075808138
ANKRD33	-0.626616525	-0.99582773
ANKRD34A	0.638837716	-1.04343153
ANKRD34B	0.105707903	-0.015379883
ANKRD34C	0.081226061	-0.780565402
ANKRD35	-0.098776584	-0.698659925
ANKRD36	-1.092024376	-1.504764787
ANKRD37	0.074735671	-0.386013042
ANKRD39	-0.693162035	-3.126652884
ANKRD40	-0.661304032	-0.987788125
ANKRD42	-0.663972157	0.257059367
ANKRD44	-0.835155497	-1.841332459
ANKRD45	0.188979732	-1.166602197
ANKRD46	0.648505232	0.199090355
ANKRD49	-0.625065555	-0.405637493
ANKRD50	-0.757282186	-0.934867063
ANKRD52	-0.29062794	-0.748033582
ANKRD53	0.215631347	0.117835382
ANKRD54	-0.437909942	-0.17605824
ANKRD55	-0.609560508	-1.029771131
ANKRD6	0.359386723	0.504364115
ANKRD7	0.023111907	-1.273311731
ANKRD9	0.056011602	0.140315066
ANKS1A	-0.007476704	-0.772454596
ANKS1B	-0.07456158	0.157119901
ANKS3	-0.015764181	-0.7696665
ANKS4B	0.075135562	-0.181875083
ANKS6	0.17829562	-1.071488751
ANKZF1	0.031412798	-1.229732165
ANLN	-0.214713352	-0.458234118
ANO1	-0.44744847	-0.385653745
ANO10	-0.407986532	-1.823917898
ANO3	0.067779161	-2.1536184
ANO4	-0.663446899	0.648912287
ANO5	-0.683762637	-1.62407948
ANO6	0.212109416	-0.656537793
ANO7	0.52945549	-0.009542899
ANO8	-0.182467373	0.190931036
ANO9	-0.280357295	0.0040047
ANP32A	-0.591523289	-0.19732015
ANP32B	-0.506241367	0.22924187
ANP32D	-0.090175205	-0.278726749
ANP32E	-0.896562182	-0.138988178
ANPEP	-0.328659482	-0.443217614
